experiment,batch_size,local_epochs,learning_rate,alpha,classification,model,model_base,accuracy,precision,recall,f1_score,auc_roc
bs1024_epoch2_lr0p0005_alpha5p0,1024,2,0.0005,5.0,Binary,MLP Binary,MLP,0.9569523087493189,0.9487361209544058,0.9974851749511007,0.9725001135108138,0.9941912012170511
bs1024_epoch2_lr0p0005_alpha5p0,1024,2,0.0005,5.0,Binary,CNN Binary,CNN,0.9674003174678386,0.9909869741074556,0.9660653854512714,0.9783675009432776,0.9967980036635723
bs1024_epoch2_lr0p0005_alpha5p0,1024,2,0.0005,5.0,Multi-class,MLP Multi,MLP,0.738302257812315,0.7716589844648772,0.738302257812315,0.7311564393857791,0.9633284133022618
bs1024_epoch2_lr0p0005_alpha5p0,1024,2,0.0005,5.0,Multi-class,CNN Multi,CNN,0.7404818877490582,0.7841751388399595,0.7404818877490582,0.7040207327945731,0.9758494645684183
bs1024_epoch2_lr0p0005_alpha0p3,1024,2,0.0005,0.3,Binary,MLP Binary,MLP,0.9556255774834751,0.9466168070196102,0.9981371666304449,0.9716945489716039,0.9932247741314538
bs1024_epoch2_lr0p0005_alpha0p3,1024,2,0.0005,0.3,Binary,CNN Binary,CNN,0.9579710488284489,0.9494373726335686,0.9980750721847931,0.973148876914694,0.9974293986152939
bs1024_epoch2_lr0p0005_alpha0p3,1024,2,0.0005,0.3,Multi-class,MLP Multi,MLP,0.6761591129853822,0.6880432259736625,0.6761591129853822,0.6384055853578494,0.9632361775767092
bs1024_epoch2_lr0p0005_alpha0p3,1024,2,0.0005,0.3,Multi-class,CNN Multi,CNN,0.7474946101542325,0.7917264189819635,0.7474946101542325,0.7317032608346534,0.9785970737877923
bs512_epoch2_lr0p0005_alpha5p0,512,2,0.0005,5.0,Binary,MLP Binary,MLP,0.9570233836385605,0.9489527635815781,0.9973299388369711,0.9725401150469271,0.9961034866031232
bs512_epoch2_lr0p0005_alpha5p0,512,2,0.0005,5.0,Binary,CNN Binary,CNN,0.9660498945722477,0.9921325316617629,0.963146946505635,0.9774248940561148,0.9963997624887454
bs512_epoch2_lr0p0005_alpha5p0,512,2,0.0005,5.0,Multi-class,MLP Multi,MLP,0.7827477552180815,0.8096461051077792,0.7827477552180815,0.7770111116758756,0.980014556640182
bs512_epoch2_lr0p0005_alpha5p0,512,2,0.0005,5.0,Multi-class,CNN Multi,CNN,0.7713046980501789,0.8212799156233275,0.7713046980501789,0.7501850769466777,0.9769394097430547
bs1024_epoch1_lr0p0005_alpha0p3,1024,1,0.0005,0.3,Binary,MLP Binary,MLP,0.953919780141676,0.9465033933313662,0.9959017665869788,0.9705744413682507,0.9926709817131856
bs1024_epoch1_lr0p0005_alpha0p3,1024,1,0.0005,0.3,Binary,CNN Binary,CNN,0.9573313748252742,0.9490784499054821,0.9976093638424043,0.972738969197003,0.9960160219193392
bs1024_epoch1_lr0p0005_alpha0p3,1024,1,0.0005,0.3,Multi-class,MLP Multi,MLP,0.6834087516880286,0.6958161273119878,0.6834087516880286,0.6535572761013484,0.9536501902018835
bs1024_epoch1_lr0p0005_alpha0p3,1024,1,0.0005,0.3,Multi-class,CNN Multi,CNN,0.710369826340354,0.7497509931510126,0.710369826340354,0.6814163729168153,0.9703512858294092
bs512_epoch2_lr0p0010_alpha0p3,512,2,0.001,0.3,Binary,MLP Binary,MLP,0.9567864673410884,0.9484870848708488,0.9975472693967524,0.9723987652079172,0.9936516998354498
bs512_epoch2_lr0p0010_alpha0p3,512,2,0.001,0.3,Binary,CNN Binary,CNN,0.8644364945864627,0.8525489152136297,0.994318358222857,0.9179923753833806,0.9238966763947964
bs512_epoch2_lr0p0010_alpha0p3,512,2,0.001,0.3,Multi-class,MLP Multi,MLP,0.711838707384681,0.7197007361307246,0.711838707384681,0.6814190183987092,0.9756307180324187
bs512_epoch2_lr0p0010_alpha0p3,512,2,0.001,0.3,Multi-class,CNN Multi,CNN,0.7554786893790424,0.8145453727367069,0.7554786893790424,0.734724243516059,0.9698548946622432
bs1024_epoch2_lr0p0010_alpha0p3,1024,2,0.001,0.3,Binary,MLP Binary,MLP,0.9552938946670142,0.9460167098140739,0.9983855444130523,0.9714958988534916,0.993509362290043
bs1024_epoch2_lr0p0010_alpha0p3,1024,2,0.001,0.3,Binary,CNN Binary,CNN,0.9577815157904712,0.9494785357638786,0.9977645999565339,0.9730228896693714,0.9971056862988606
bs1024_epoch2_lr0p0010_alpha0p3,1024,2,0.001,0.3,Multi-class,MLP Multi,MLP,0.7042100026060792,0.7039780655279143,0.7042100026060792,0.6719612785173343,0.9639340395829187
bs1024_epoch2_lr0p0010_alpha0p3,1024,2,0.001,0.3,Multi-class,CNN Multi,CNN,0.7510720462460613,0.8088940359280576,0.7510720462460613,0.729591552647498,0.983698693298557
bs256_epoch2_lr0p0010_alpha0p3,256,2,0.001,0.3,Binary,MLP Binary,MLP,0.9546305290340923,0.9471307120085016,0.9961501443695862,0.9710221684194598,0.9922739963985221
bs256_epoch2_lr0p0010_alpha0p3,256,2,0.001,0.3,Binary,CNN Binary,CNN,0.889146864412803,0.9924161121843028,0.8613120556366233,0.9222279474095374,0.9908719969573723
bs256_epoch2_lr0p0010_alpha0p3,256,2,0.001,0.3,Multi-class,MLP Multi,MLP,0.6936435357388234,0.6993368182658428,0.6936435357388234,0.662563449476257,0.9784466477396224
bs256_epoch2_lr0p0010_alpha0p3,256,2,0.001,0.3,Multi-class,CNN Multi,CNN,0.5229453434101732,0.6253018203797831,0.5229453434101732,0.45808291429188386,0.8572665142995853
bs512_epoch2_lr0p0010_alpha5p0,512,2,0.001,5.0,Binary,MLP Binary,MLP,0.9661446610912364,0.9889439573008006,0.9664379521251824,0.97756143518882,0.9959005464311217
bs512_epoch2_lr0p0010_alpha5p0,512,2,0.001,5.0,Binary,CNN Binary,CNN,0.9420739652680707,0.9925857275254866,0.9310441181036356,0.9608304897390302,0.9953136281784595
bs512_epoch2_lr0p0010_alpha5p0,512,2,0.001,5.0,Multi-class,MLP Multi,MLP,0.790471226515672,0.8148476859575535,0.790471226515672,0.7846432688847647,0.9806299039665989
bs512_epoch2_lr0p0010_alpha5p0,512,2,0.001,5.0,Multi-class,CNN Multi,CNN,0.4025444810348504,0.5855127938342743,0.4025444810348504,0.3057574081375425,0.7131749537848926
bs256_epoch2_lr0p0005_alpha5p0,256,2,0.0005,5.0,Binary,MLP Binary,MLP,0.9658366699045228,0.9888772364699526,0.9660964326740973,0.9773541051573591,0.9953402185724487
bs256_epoch2_lr0p0005_alpha5p0,256,2,0.0005,5.0,Binary,CNN Binary,CNN,0.9557677272619584,0.9488727143617965,0.9956844360271974,0.9717151211235172,0.9234989428420628
bs256_epoch2_lr0p0005_alpha5p0,256,2,0.0005,5.0,Multi-class,MLP Multi,MLP,0.7794546186832192,0.8102344239209807,0.7794546186832192,0.7742047571826763,0.9807838877420771
bs256_epoch2_lr0p0005_alpha5p0,256,2,0.0005,5.0,Multi-class,CNN Multi,CNN,0.574735246037575,0.6454708196349548,0.574735246037575,0.4863997466638795,0.8981741895315076
bs1024_epoch1_lr0p0005_alpha5p0,1024,1,0.0005,5.0,Binary,MLP Binary,MLP,0.9569049254898244,0.9486271036315324,0.9975472693967524,0.972472343709802,0.992863050700115
bs1024_epoch1_lr0p0005_alpha5p0,1024,1,0.0005,5.0,Binary,CNN Binary,CNN,0.9631832073728351,0.9909670393029886,0.960507932565432,0.9754997792772908,0.9946034803936787
bs1024_epoch1_lr0p0005_alpha5p0,1024,1,0.0005,5.0,Multi-class,MLP Multi,MLP,0.6926011040299462,0.6508022849175983,0.6926011040299462,0.6472980440958352,0.9523698314195447
bs1024_epoch1_lr0p0005_alpha5p0,1024,1,0.0005,5.0,Multi-class,CNN Multi,CNN,0.6114809637754981,0.632272845877897,0.6114809637754981,0.5716570127481077,0.9394349925771964
bs512_epoch2_lr0p0005_alpha0p3,512,2,0.0005,0.3,Binary,MLP Binary,MLP,0.9561941765974081,0.9476291578202406,0.997733552733708,0.972036115606237,0.994311964047316
bs512_epoch2_lr0p0005_alpha0p3,512,2,0.0005,0.3,Binary,CNN Binary,CNN,0.9048307233054562,0.8895213883055156,0.9994101027663076,0.9412693539190315,0.964224521096588
bs512_epoch2_lr0p0005_alpha0p3,512,2,0.0005,0.3,Multi-class,MLP Multi,MLP,0.7047312184605179,0.7172833328972702,0.7047312184605179,0.6672953620403611,0.9667888732303428
bs512_epoch2_lr0p0005_alpha0p3,512,2,0.0005,0.3,Multi-class,CNN Multi,CNN,0.7145632448056102,0.800969813827613,0.7145632448056102,0.6668111644316425,0.9839760289629036
bs256_epoch1_lr0p0005_alpha0p3,256,1,0.0005,0.3,Binary,MLP Binary,MLP,0.949986969603639,0.9391304347826087,0.999223819429352,0.96824561139608,0.9932659551678101
bs256_epoch1_lr0p0005_alpha0p3,256,1,0.0005,0.3,Binary,CNN Binary,CNN,0.9571892250467909,0.9483277296053796,0.9982924027445745,0.9726688346063677,0.9966942593684995
bs256_epoch1_lr0p0005_alpha0p3,256,1,0.0005,0.3,Multi-class,MLP Multi,MLP,0.6715629368144235,0.6857191739381764,0.6715629368144235,0.6348786117709442,0.9648406791054301
bs256_epoch1_lr0p0005_alpha0p3,256,1,0.0005,0.3,Multi-class,CNN Multi,CNN,0.7222630244734535,0.7550994780271039,0.7222630244734535,0.6972557945693597,0.9689583713527482
bs256_epoch2_lr0p0005_alpha0p3,256,2,0.0005,0.3,Binary,MLP Binary,MLP,0.9560757184486721,0.9472784604956827,0.9979819305163153,0.9719693991714795,0.9935260206774503
bs256_epoch2_lr0p0005_alpha0p3,256,2,0.0005,0.3,Binary,CNN Binary,CNN,0.9574261413442631,0.9489253660840813,0.9979198360706635,0.9728061016025786,0.997459590487131
bs256_epoch2_lr0p0005_alpha0p3,256,2,0.0005,0.3,Multi-class,MLP Multi,MLP,0.7101566016726291,0.7186717107433946,0.7101566016726291,0.6824881573352541,0.9639180029232595
bs256_epoch2_lr0p0005_alpha0p3,256,2,0.0005,0.3,Multi-class,CNN Multi,CNN,0.7097775355966737,0.7777161316786902,0.7097775355966737,0.6625501889602171,0.9746831151119039
bs256_epoch2_lr0p0010_alpha5p0,256,2,0.001,5.0,Binary,MLP Binary,MLP,0.966215735980478,0.9889450109596875,0.9665310937936602,0.9776095967843236,0.9953764025582911
bs256_epoch2_lr0p0010_alpha5p0,256,2,0.001,5.0,Binary,CNN Binary,CNN,0.9687507403634296,0.992600625119602,0.9662516687882269,0.9792489341283451,0.9970754261231332
bs256_epoch2_lr0p0010_alpha5p0,256,2,0.001,5.0,Multi-class,MLP Multi,MLP,0.7709493236039707,0.8003791086824086,0.7709493236039707,0.7637281989068039,0.9787605821035374
bs256_epoch2_lr0p0010_alpha5p0,256,2,0.001,5.0,Multi-class,CNN Multi,CNN,0.6190385936648582,0.6677981074031085,0.6190385936648582,0.5812619356944024,0.9230795251383581
bs512_epoch1_lr0p0010_alpha0p3,512,1,0.001,0.3,Binary,MLP Binary,MLP,0.9562178682271554,0.9474723655121592,0.9979508832934894,0.9720567332990595,0.9930793706727933
