model,batch_size,local_epochs,learning_rate,accuracy_Binary,accuracy_Multi-class,auc_roc_Binary,auc_roc_Multi-class,f1_score_Binary,f1_score_Multi-class,precision_Binary,precision_Multi-class,recall_Binary,recall_Multi-class,weighted_score_Binary,weighted_score_Multi-class,combined_score,score_difference,balance_score
CNN,1024,2,0.001,0.9577815157904712,0.7510720462460613,0.9971056862988606,0.983698693298557,0.9730228896693714,0.729591552647498,0.9494785357638786,0.8088940359280576,0.9977645999565339,0.7510720462460613,0.9750306454958232,0.804865674873247,0.8899481601845352,0.17016497062257618,0.8729316631222775
CNN,1024,2,0.0005,0.9579710488284489,0.7474946101542325,0.9974293986152939,0.9785970737877923,0.973148876914694,0.7317032608346534,0.9494373726335686,0.7917264189819635,0.9980750721847931,0.7474946101542325,0.9752123538353596,0.7994031947825749,0.8873077743089672,0.1758091590527847,0.8697268584036888
CNN,512,1,0.0005,0.9571181501575493,0.7327110331919733,0.9959244388214475,0.9763554837792956,0.9726114456919771,0.7099074209848981,0.94866723735868,0.782661764370692,0.9977956471793598,0.7327110331919733,0.9744233838418028,0.7868693471037664,0.8806463654727846,0.1875540367380364,0.861890961798981
CNN,256,1,0.0005,0.9571892250467909,0.7222630244734535,0.9966942593684995,0.9689583713527482,0.9726688346063677,0.6972557945693597,0.9483277296053796,0.7550994780271039,0.9982924027445745,0.7222630244734535,0.9746344902743225,0.7731679385792238,0.8739012144267732,0.20146655169509864,0.8537545592572633
CNN,256,2,0.0005,0.9574261413442631,0.7097775355966737,0.997459590487131,0.9746831151119039,0.9728061016025786,0.6625501889602171,0.9489253660840813,0.7777161316786902,0.9979198360706635,0.7097775355966737,0.9749074071177435,0.7669009013888318,0.8709041542532876,0.20800650572891166,0.8501035036803964
CNN,1024,1,0.0005,0.9573313748252742,0.710369826340354,0.9960160219193392,0.9703512858294092,0.972738969197003,0.6814163729168153,0.9490784499054821,0.7497509931510126,0.9976093638424043,0.710369826340354,0.9745548359379006,0.764451660915589,0.8695032484267449,0.21010317502231157,0.8484929309245137
CNN,512,2,0.001,0.8644364945864627,0.7554786893790424,0.9238966763947964,0.9698548946622432,0.9179923753833806,0.734724243516059,0.8525489152136297,0.8145453727367069,0.994318358222857,0.7554786893790424,0.9106385639602254,0.8060163779346188,0.858327470947422,0.10462218602560658,0.8478652523448613
MLP,256,1,0.001,0.9551754365182781,0.7110805752327702,0.9927808345493496,0.9642655412275719,0.9714156216951201,0.683116786631478,0.9460875194961891,0.7434990200097609,0.9981371666304449,0.7110805752327702,0.9727193157778764,0.7626084996668703,0.8676639077223733,0.21011081611100613,0.8466528261112727
MLP,512,2,0.001,0.9567864673410884,0.711838707384681,0.9936516998354498,0.9756307180324187,0.9723987652079172,0.6814190183987092,0.9484870848708488,0.7197007361307246,0.9975472693967524,0.711838707384681,0.9737742573304115,0.760085577466243,0.8669299173983271,0.2136886798641685,0.8455610494119103
MLP,256,2,0.0005,0.9560757184486721,0.7101566016726291,0.9935260206774503,0.9639180029232595,0.9719693991714795,0.6824881573352541,0.9472784604956827,0.7186717107433946,0.9979819305163153,0.7101566016726291,0.9733663058619201,0.7570782148694334,0.8652222603656767,0.2162880909924867,0.843593451266428
CNN,512,2,0.0005,0.9048307233054562,0.7145632448056102,0.964224521096588,0.9839760289629036,0.9412693539190315,0.6668111644316425,0.8895213883055156,0.800969813827613,0.9994101027663076,0.7145632448056102,0.9398512178785798,0.7761766993666759,0.8580139586226279,0.16367451851190395,0.8416465067714375
MLP,512,2,0.0005,0.9561941765974081,0.7047312184605179,0.994311964047316,0.9667888732303428,0.972036115606237,0.6672953620403611,0.9476291578202406,0.7172833328972702,0.997733552733708,0.7047312184605179,0.973580993360982,0.752166001017802,0.862873497189392,0.22141499234318007,0.840731997955074
