model,batch_size,local_epochs,learning_rate,accuracy_Binary,accuracy_Multi-class,auc_roc_Binary,auc_roc_Multi-class,f1_score_Binary,f1_score_Multi-class,precision_Binary,precision_Multi-class,recall_Binary,recall_Multi-class,weighted_score_Binary,weighted_score_Multi-class,combined_score,score_difference,balance_score,duration_seconds,duration_minutes,normalized_time_score,optimization_score,normalized_performance,performance_per_second,efficiency_score,opt_score_Performance_Focused,opt_score_Balanced,opt_score_Time_Focused,opt_score_Efficiency,is_pareto_optimal,roi_score
CNN,1024,2,0.001,0.9577815157904712,0.7510720462460613,0.9971056862988606,0.983698693298557,0.9730228896693714,0.729591552647498,0.9494785357638786,0.8088940359280576,0.9977645999565339,0.7510720462460613,0.9750306454958232,0.804865674873247,0.8899481601845352,0.17016497062257618,0.8729316631222775,894.564681,14.90941135,0.041299327156823495,0.6234419623326413,1.0,0.0009758172680665866,0.6717189989306094,0.8082598654313647,0.6165197308627294,0.4247795962940941,0.5206496635784117,True,0.0005753407762126204
CNN,1024,2,0.0005,0.9579710488284489,0.7474946101542325,0.9974293986152939,0.9785970737877923,0.973148876914694,0.7317032608346534,0.9494373726335686,0.7917264189819635,0.9980750721847931,0.7474946101542325,0.9752123538353596,0.7994031947825749,0.8873077743089672,0.1758091590527847,0.8697268584036888,903.94467,15.0657445,0.010677728176206491,0.6120121193354441,0.9810964847088949,0.0009621461216245557,0.6521826646054705,0.7870127334023572,0.5929289820958196,0.39884523078928186,0.4958871064425507,False,0.0005470509058001542
CNN,512,1,0.0005,0.9571181501575493,0.7327110331919733,0.9959244388214475,0.9763554837792956,0.9726114456919771,0.7099074209848981,0.94866723735868,0.782661764370692,0.9977956471793598,0.7327110331919733,0.9744233838418028,0.7868693471037664,0.8806463654727846,0.1875540367380364,0.861890961798981,605.979226,10.099653766666668,0.9834057704211869,0.8983454043856427,0.9348765105471489,0.0014223110707742,0.9270344882918123,0.9445823625219566,0.9542882144967642,0.9639940664715717,0.9591411404841679,True,0.026054687172342206
CNN,256,1,0.0005,0.9571892250467909,0.7222630244734535,0.9966942593684995,0.9689583713527482,0.9726688346063677,0.6972557945693597,0.9483277296053796,0.7550994780271039,0.9982924027445745,0.7222630244734535,0.9746344902743225,0.7731679385792238,0.8739012144267732,0.20146655169509864,0.8537545592572633,605.683393,10.094723216666667,0.9843715369579316,0.8929396525674638,0.8868840044921541,0.0014095723427854712,0.8798741033942229,0.9063815109853096,0.925879017478465,0.9453765239716205,0.9356277707250429,True,0.02598063429839255
CNN,256,2,0.0005,0.9574261413442631,0.7097775355966737,0.997459590487131,0.9746831151119039,0.9728061016025786,0.6625501889602171,0.9489253660840813,0.7777161316786902,0.9979198360706635,0.7097775355966737,0.9749074071177435,0.7669009013888318,0.8709041542532876,0.20800650572891166,0.8501035036803964,884.866553,14.747775883333333,0.07295951209719942,0.6169603062054373,0.8653482820421543,0.0009607137944114343,0.5876416044149476,0.7068705280531633,0.5483927740641723,0.38991502007518136,0.46915389706967686,False,0.0005148136924930493
CNN,1024,1,0.0005,0.9573313748252742,0.710369826340354,0.9960160219193392,0.9703512858294092,0.972738969197003,0.6814163729168153,0.9490784499054821,0.7497509931510126,0.9976093638424043,0.710369826340354,0.9745548359379006,0.764451660915589,0.8695032484267449,0.21010317502231157,0.8484929309245137,606.734611,10.112243516666666,0.9809397657653209,0.8882269813767558,0.8558483313769315,0.0013984580993756984,0.8476126272432464,0.8808666182546094,0.9058849051322873,0.9309031920099652,0.9183940485711262,False,0.02121747742793043
CNN,512,2,0.001,0.8644364945864627,0.7554786893790424,0.9238966763947964,0.9698548946622432,0.9179923753833806,0.734724243516059,0.8525489152136297,0.8145453727367069,0.994318358222857,0.7554786893790424,0.9106385639602254,0.8060163779346188,0.858327470947422,0.10462218602560658,0.8478652523448613,886.367682,14.772794699999999,0.06805897647224568,0.6139233695830766,0.8521459742381218,0.0009565615596811227,0.5776961368648141,0.6953285746849466,0.5385111751317713,0.38169377557859613,0.4601024753551837,False,0.0005043028662748769
MLP,256,1,0.001,0.9551754365182781,0.7110805752327702,0.9927808345493496,0.9642655412275719,0.9714156216951201,0.683116786631478,0.9460875194961891,0.7434990200097609,0.9981371666304449,0.7110805752327702,0.9727193157778764,0.7626084996668703,0.8676639077223733,0.21011081611100613,0.8466528261112727,616.242495,10.27070825,0.949900645036904,0.8776271717889621,0.8449944876863694,0.0013738955573183455,0.8239514306982052,0.8659757191564764,0.8869569506265833,0.9079381820966901,0.8974475663616367,False,0.008763763973623594
MLP,512,2,0.001,0.9567864673410884,0.711838707384681,0.9936516998354498,0.9756307180324187,0.9723987652079172,0.6814190183987092,0.9484870848708488,0.7197007361307246,0.9975472693967524,0.711838707384681,0.9737742573304115,0.760085577466243,0.8669299173983271,0.2136886798641685,0.8455610494119103,886.367682,14.772794699999999,0.06805897647224568,0.612310427530011,0.8385546514582337,0.0009539619579811241,0.5684821583890676,0.6844555164610361,0.5303563814638385,0.3762572464666409,0.4533068139652397,False,0.000496259475539513
MLP,256,2,0.0005,0.9560757184486721,0.7101566016726291,0.9935260206774503,0.9639180029232595,0.9719693991714795,0.6824881573352541,0.9472784604956827,0.7186717107433946,0.9979819305163153,0.7101566016726291,0.9733663058619201,0.7570782148694334,0.8652222603656767,0.2162880909924867,0.843593451266428,884.866553,14.747775883333333,0.07295951209719942,0.6124032695156594,0.82694878935558,0.0009533566936238668,0.5615652372927912,0.6761509339039039,0.5253530784522278,0.37455522300055166,0.4499541507263897,False,0.0004919690355727364
